epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1705,1.22157,1.06504,1.16065,1,0.99958,0.995,0.66763,1.27843,0.64894,0.94489,0.067132,0.000332,0.000332
2,64.3916,0.9163,0.64657,0.9849,0.99979,1,0.995,0.75356,0.91321,0.48184,0.87691,0.0341188,0.00065216,0.00065216
3,93.2798,0.89997,0.60441,0.98002,0.99627,1,0.99493,0.83021,0.70716,0.48018,0.84806,0.00109245,0.000959119,0.000959119
4,120.899,0.88444,0.58193,0.97628,0.99985,1,0.995,0.74363,0.97513,0.49009,0.85937,0.0009406,0.0009406,0.0009406
5,151.546,0.83868,0.56356,0.97159,0.99981,1,0.995,0.7753,0.83164,0.4425,0.85493,0.0009208,0.0009208,0.0009208
6,183.789,0.78292,0.51238,0.95072,0.99801,1,0.99485,0.77369,0.94113,0.4546,0.86475,0.000901,0.000901,0.000901
7,216.736,0.79844,0.51863,0.94885,0.99805,1,0.995,0.81497,0.78987,0.43533,0.84586,0.0008812,0.0008812,0.0008812
8,247.123,0.75787,0.48911,0.93859,0.99987,1,0.995,0.82306,0.68361,0.43193,0.83618,0.0008614,0.0008614,0.0008614
9,275.763,0.74166,0.48648,0.92698,0.99988,1,0.995,0.76587,0.94005,0.44954,0.849,0.0008416,0.0008416,0.0008416
10,306.034,0.75915,0.49031,0.94344,0.99966,1,0.995,0.85996,0.61234,0.36809,0.81987,0.0008218,0.0008218,0.0008218
11,341.641,0.72459,0.47729,0.93362,0.99988,1,0.995,0.87182,0.58526,0.3844,0.81346,0.000802,0.000802,0.000802
12,377.121,0.72486,0.46292,0.93037,0.99822,1,0.995,0.8238,0.7181,0.36965,0.83164,0.0007822,0.0007822,0.0007822
13,407.439,0.7345,0.46575,0.93788,0.99986,1,0.995,0.85933,0.59196,0.38046,0.82736,0.0007624,0.0007624,0.0007624
14,436.977,0.70467,0.44964,0.92541,0.99988,1,0.995,0.85199,0.63878,0.3802,0.82441,0.0007426,0.0007426,0.0007426
15,464.735,0.68207,0.44496,0.91909,0.99989,1,0.995,0.91006,0.43833,0.32405,0.80629,0.0007228,0.0007228,0.0007228
16,492.382,0.67666,0.43522,0.91959,0.99988,1,0.995,0.8563,0.62723,0.35549,0.8142,0.000703,0.000703,0.000703
17,523.458,0.68439,0.42662,0.91467,0.99989,1,0.995,0.80637,0.79586,0.373,0.83145,0.0006832,0.0006832,0.0006832
18,550.689,0.65821,0.41559,0.91005,0.99989,1,0.995,0.87665,0.57197,0.34739,0.8131,0.0006634,0.0006634,0.0006634
19,572.565,0.67212,0.42858,0.91857,0.99943,1,0.995,0.78815,0.78517,0.43139,0.83632,0.0006436,0.0006436,0.0006436
20,593.266,0.66683,0.41838,0.91108,0.99989,1,0.995,0.8538,0.69177,0.35508,0.82636,0.0006238,0.0006238,0.0006238
21,613.797,0.64343,0.3995,0.9048,0.99988,1,0.995,0.88803,0.49966,0.3097,0.80572,0.000604,0.000604,0.000604
22,634.628,0.6194,0.40063,0.89999,0.99989,1,0.995,0.89382,0.52879,0.3134,0.80399,0.0005842,0.0005842,0.0005842
23,655.531,0.6312,0.40696,0.90593,0.99989,1,0.995,0.91946,0.42011,0.30251,0.80102,0.0005644,0.0005644,0.0005644
24,676.811,0.64699,0.40676,0.90661,0.99989,1,0.995,0.93004,0.40636,0.29081,0.80059,0.0005446,0.0005446,0.0005446
25,697.732,0.61719,0.39968,0.89825,0.99989,1,0.995,0.91133,0.44239,0.29951,0.79984,0.0005248,0.0005248,0.0005248
26,718.712,0.64086,0.40642,0.90819,0.99988,1,0.995,0.91377,0.43146,0.30491,0.8008,0.000505,0.000505,0.000505
27,739.579,0.6193,0.39948,0.90359,0.99989,1,0.995,0.89883,0.51504,0.31481,0.79916,0.0004852,0.0004852,0.0004852
28,760.715,0.61917,0.39989,0.9026,0.99989,1,0.995,0.91852,0.43042,0.29136,0.80175,0.0004654,0.0004654,0.0004654
29,781.414,0.60126,0.38602,0.89675,0.9999,1,0.995,0.90717,0.47399,0.29509,0.79957,0.0004456,0.0004456,0.0004456
30,802.636,0.6046,0.38069,0.89981,0.99989,1,0.995,0.88879,0.52683,0.29807,0.80381,0.0004258,0.0004258,0.0004258
31,824.282,0.6115,0.38361,0.89916,0.99969,1,0.995,0.90348,0.48628,0.29609,0.79795,0.000406,0.000406,0.000406
32,848.297,0.59085,0.36937,0.8942,0.9999,1,0.995,0.92848,0.40686,0.27001,0.79072,0.0003862,0.0003862,0.0003862
33,872.933,0.58616,0.3682,0.89388,0.99982,1,0.995,0.95656,0.33467,0.25802,0.79292,0.0003664,0.0003664,0.0003664
34,895.973,0.56261,0.35911,0.88421,0.9999,1,0.995,0.90392,0.49785,0.28249,0.79719,0.0003466,0.0003466,0.0003466
35,918.116,0.56118,0.35833,0.88153,0.99989,1,0.995,0.91702,0.46616,0.27359,0.79808,0.0003268,0.0003268,0.0003268
36,938.801,0.56847,0.35788,0.88681,0.99989,1,0.995,0.93277,0.40885,0.2692,0.79328,0.000307,0.000307,0.000307
37,960.128,0.5752,0.36525,0.89233,0.99988,1,0.995,0.92302,0.44159,0.26917,0.79619,0.0002872,0.0002872,0.0002872
38,981.816,0.55016,0.34968,0.88017,0.9999,1,0.995,0.93237,0.3988,0.25504,0.79133,0.0002674,0.0002674,0.0002674
39,1003.31,0.54586,0.34565,0.87998,0.99988,1,0.995,0.93616,0.38205,0.25331,0.78904,0.0002476,0.0002476,0.0002476
40,1024.51,0.5522,0.34706,0.89031,0.99987,1,0.995,0.95013,0.35282,0.24777,0.78738,0.0002278,0.0002278,0.0002278
41,1059.11,0.37332,0.25109,0.80848,0.9999,1,0.995,0.89964,0.51564,0.27446,0.7924,0.000208,0.000208,0.000208
42,1080.42,0.35991,0.24581,0.8068,0.9999,1,0.995,0.93831,0.37456,0.24527,0.7889,0.0001882,0.0001882,0.0001882
43,1101.96,0.35487,0.24377,0.80528,0.9999,1,0.995,0.95817,0.32778,0.23644,0.78402,0.0001684,0.0001684,0.0001684
44,1123.1,0.34923,0.23672,0.81128,0.9999,1,0.995,0.94819,0.37232,0.24338,0.78471,0.0001486,0.0001486,0.0001486
45,1144.5,0.34259,0.23336,0.80772,0.9999,1,0.995,0.92645,0.43403,0.24697,0.78676,0.0001288,0.0001288,0.0001288
46,1165.61,0.34031,0.232,0.80287,0.9999,1,0.995,0.95314,0.36206,0.24205,0.78402,0.000109,0.000109,0.000109
47,1188.93,0.33055,0.22625,0.80327,0.9999,1,0.995,0.94425,0.38146,0.24131,0.7856,8.92e-05,8.92e-05,8.92e-05
48,1211.68,0.32975,0.22542,0.80837,0.9999,1,0.995,0.93066,0.41985,0.24412,0.78434,6.94e-05,6.94e-05,6.94e-05
49,1234.43,0.31867,0.22215,0.79496,0.99991,1,0.995,0.95312,0.36191,0.24066,0.78348,4.96e-05,4.96e-05,4.96e-05
50,1256.38,0.31516,0.2171,0.79832,0.9999,1,0.995,0.93238,0.41869,0.24175,0.7848,2.98e-05,2.98e-05,2.98e-05
